benchmark,raw_file,compute_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,4,25,110598,0.774,0.908,0,0.208,98024,,32.02780603594439
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,4,50,110571,0.549,0.908,0,0.31,98024,,85.79128168680407
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,4,75,120771,0.44,0.908,0,0.242,98024,,97.88732394366197
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,8,75,121134,0.763,0.908,0,0.393,67176,,75.16150766913717
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,8,100,121160,0.658,0.908,0,0.396,67176,,94.6998576218252
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,8,125,121267,0.579,0.908,0,0.344,67176,,99.23387731542215
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,16,150,121141,0.903,0.908,0,0.61,74216,,96.51567944250871
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,16,175,121156,0.876,0.908,0,0.593,74216,,98.39354660783232
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,16,200,123674,0.841,0.908,0,0.549,74216,,99.34340581756565
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,24,200,120637,0.982,0.908,0,0.798,81256,,99.77877465740798
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,24,225,120694,0.975,0.908,0,0.783,81256,,99.81812670506214
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,24,250,110593,0.964,0.908,0,0.846,81256,,99.75058141494489
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,32,250,121177,0.995,0.908,0,0.812,88296,,99.96103234315518
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,32,275,123139,0.993,0.908,0,0.803,88296,,99.94702298613768
h60,e_h60_121_td_1000by40.bin,16,1000000,singlepass_eif,32,300,120782,0.993,0.908,0,0.81,88296,,99.94564068492737
